category,input,response
narrative,it's a spinning round slide in the middle of your eye,it's a spinning round slide in the middle of my eye. it goes round and round.
narrative,I've got loads of money to buy baby a magazine,you've got loads of money to buy baby a magazine. baby will love her magazine.
narrative,he can't go to the doctors because there's no doctors on the road,he can't go to the doctors because there's no doctors on the road. he will have to wait until a doctor is there.
narrative,I buyed a pink purple one but it isn't arrived yet,you bought a pink purple one but it hasn't arrived yet. it will come soon.
narrative,it goes down because it's a bit too steep,it goes down because it's a bit too steep. it would be hard to climb back up.
narrative,when it's a long day then it'll be Christmas,when it's a long day then it will be Christmas. and we'll put up the tree and have a big dinner.
narrative,we can't fix it because there's no bits,we can't fix it because there are no bits. we'll have to find some more.
narrative,when we were walking there it was nap time for the lift,when we were walking there it was nap time for the lift. the lift was having a rest.
narrative,sometimes I get bored and just climb everywhere,sometimes you get bored and just climb everywhere. you climb up high to find something new to do.
narrative,when I was on the airplane and you were giving me a sandwich,when you were on the airplane and I was giving you a sandwich. you were so hungry after the flight.
narrative,George is still on the toilet because he did a long poo,George is still on the toilet because he did a long poo. he'll be there a while.
narrative,Thomas isn't on the toilet now because trains do little poos,Thomas isn't on the toilet now because trains do little poos. little poos don't take very long.
narrative,when we lined up in the garden I stood next to Krisshiv,when you lined up in the garden you stood next to Krisshiv. Krisshiv is your friend.
narrative,when we were going home away from Spain because there were dinosaurs in Spain,when we were going home away from Spain because there were dinosaurs in Spain. the dinosaurs were very big and we needed to go home.
narrative,when I get him Santi's already there,when you get him Santi is already there. Santi gets there really quickly.
narrative,Santi's going back again because he doesn't stay,Santi is going back again because he doesn't stay. he likes going back and forth.
narrative,I think I said to mummy it didn't work because we didn't read the instructions,you think you said to mummy it didn't work because you didn't read the instructions. instructions help us know what to do.
narrative,Willow fell on the rocks and her knee was dribbling red,Willow fell on the rocks and her knee was dribbling red. her knee must have hurt.
narrative,you've got to stand on one foot because the other one is lava,I've got to stand on one foot because the other one is lava. I need to balance carefully.
observation,this one is really gooder but this one isn't very good,this one is much better but this one isn't very good. what makes the better one better?
narrative,you put the balloon on the car and it brums,I put the balloon on the car and it brums. the balloon makes the car go fast.
narrative,I dreamed that Baby wanted Willow's pizza but she gobbled it all up,you dreamed that Baby wanted Willow's pizza but she gobbled it all up. what a funny dream.
narrative,while the pizza was cooking I took it out but I wear gloves,while the pizza was cooking you took it out but you wear gloves. gloves keep your hands safe from the heat.
narrative,when I was playing with Mia and we were throwing blocks around,when you were playing with Mia and you were throwing blocks around. it sounds like you were having fun.
narrative,I'm going to keep these because I'm going to grow up,you're going to keep these because you're going to grow up. you'll want them when you're bigger.
information,is it tomorrow,no it isn't tomorrow. it's still today.
information,is it my birthday,no it isn't your birthday. your birthday is soon.
information,what is that,that's a bird. can you see it?
information,is it a nursery day,yes it's a nursery day. we're going soon.
information,is it the morning,yes it's the morning. the sun is up.
information,what comes after bedtime,after bedtime comes the morning. and then we wake up.
information,where is the moon,the moon is in the sky. we can see it at night.
information,what does red say,red says stop. we stop when we see red.
information,what does that say,that says hello. someone wrote it there.
information,what did you say,I said it's time to go. we're going now.
information,why is it a nursery day,it's a nursery day because it's Tuesday. you go to nursery on Tuesdays.
information,why did you say that,I said that because I wanted you to know. it's important.
information,where is my cat bag,your cat bag is by the door. we put it there yesterday.
information,do grown ups use straws when they drink their juice,sometimes grown ups use straws. and sometimes they drink from the cup.
information,why,why do you think?
information,why do you work,that's a good question. why do you think I work?
information,why should we hurry up,that's a good question. why do you think?
information,why is it red,it's red. why do you think?
information,why can't the baby play with this,the baby can't play with this because it's too small. she might put it in her mouth.
information,what is that penguin doing,that penguin is sliding on the ice. he looks happy.
information,what is he doing,he's climbing up the ladder. he wants to go to the top.
information,what is that man saying,that man is saying hello. he's talking to his friend.
information,why is that man walking there,that man is walking there because he's going home. his house is that way.
information,why have we stopped,we've stopped because of the red light. we'll go when it turns green.
information,are we nearly there yet,we're nearly there. just a few more minutes.
information,why is it broken,it's broken because it fell down. we can try to fix it.
information,is it a bulb,yes it's a bulb. it lights up when we turn the switch on.
information,why do you need a poo,I need a poo because my tummy is telling me. everybody needs a poo sometimes.
information,why does it say no babies,it says no babies because this part is for big children. the babies have a different part.
information,how do dogs go woof woof,dogs go woof woof with their voices. what other animal sounds do you know?
information,what is the gravity,gravity is the thing that pulls us down to the ground. it's why we don't float away.
information,do fishes wear sun cream,no fish don't wear sun cream. they live under the water and the sun doesn't burn them.
information,does the sun wear sun cream,no the sun doesn't wear sun cream. the sun is the one that makes us need sun cream.
information,is there a pizza sun,no there isn't a pizza sun. but the sun is round like a pizza.
information,do you like scary things,no I don't really like scary things. do you like scary things?
information,do you remember when I said Krisshiv hit me,yes I remember when you said Krisshiv hit me. that wasn't kind of him.
information,can we cuddle them while they're jumping,no we can't cuddle them while they're jumping. we can cuddle them when they stop.
emotional,I wet the bed,you wet the bed. let's get you dry and change the sheets.
emotional,tummy hurts,your tummy hurts. let me rub it for you.
emotional,my toy is broken,your toy is broken. let's see if we can fix it.
emotional,my jumper is wet,your jumper is wet. let's get you a dry one.
emotional,I fell over,you fell over. are you hurt?
emotional,I bumped my head,you bumped your head. let me have a look.
emotional,I hurt my finger,you hurt your finger. let me kiss it better.
emotional,I dropped my biscuit,you dropped your biscuit. we can get you another one.
emotional,my balloon popped,your balloon popped. that was a big bang.
emotional,my biscuit is broken,your biscuit is broken. it still tastes the same.
emotional,I'm not very well,you're not very well. let's sit down and have a cuddle.
emotional,I feel poorly,you feel poorly. let's get you some water.
emotional,I don't want to go to nursery,you don't want to go to nursery. some days are hard.
emotional,I hate cabbage yuck,you don't like cabbage. you don't have to eat it.
emotional,I don't like green thing,you don't like the green thing. you can leave it on the side.
emotional,I don't like bedtime,you don't like bedtime. bedtime is hard sometimes.
emotional,I don't like daddy,you don't like daddy right now. daddy loves you.
emotional,I don't like dinner yuck,you don't like dinner. dinner is hard sometimes.
emotional,dinner is yucky,dinner is yucky to you. it's hard when you don't like dinner.
emotional,that boy pushed me,that boy pushed you. that wasn't kind.
emotional,my dog ran away,your dog ran away. that's sad.
emotional,I'm sick,you're sick. it's horrible feeling sick.
emotional,that's scary,that's scary. I'm here with you.
emotional,that lion is scary,that lion is scary. I'm here with you.
emotional,I'm sad,you're sad. I'm here.
emotional,I feel sad,you feel sad. I'm here with you.
emotional,I'm tired,you're tired. come and have a cuddle.
emotional,I'm excited,you're excited.
emotional,I feel happy,you feel happy.
emotional,I'm happy,you're happy.
emotional,I feel better now,you feel better now.
request,cuddle,you want a cuddle. come here.
request,mummy cuddle,you want a mummy cuddle. come here.
request,daddy cuddle,you want a daddy cuddle. come here.
request,I want a cuddle,you want a cuddle. come here.
request,play with me,you want me to play. let's play.
request,help me,you want some help. what do you need?
request,more please,you want some more. here you go.
request,yes please,yes please. here you go.
request,take my shoes off,you want your shoes off. let's take them off.
request,change my nappy,you want a clean nappy. let's change it now.
request,do you want to play with me,you want me to play. yes let's play.
request,I want to do sticking and glueing,you want to do sticking and glueing. let's get the glue out.
request,I want to play,you want to play. what shall we play?
request,I want to go outside,you want to go outside. let's put our shoes on.
request,can I have a biscuit,you want a biscuit. you can have one small one.
request,can I have some milk,you want some milk. I'll get you a little cup.
request,I want a biscuit,you want a biscuit. one biscuit is ok.
request,I want some juice,you want some juice. a little bit of juice is ok.
request,I want frothy milk,you want frothy milk. I'll make you a small one.
request,mummy give me a biscuit,you want a biscuit. you can ask me nicely and I'll get you one.
request,I want to go to the toy shop,you want to go to the toy shop. we can go one day soon.
request,I want to go to soft play,you want to go to soft play. we can go soon.
request,I want a spicy stick,you want a spicy stick. we can get one next time.
request,I want a teddy,you want a teddy. we can look for one soon.
request,I want a pedal bike,you want a pedal bike. you can have one when you're a bit bigger.
request,go away,you want me to go away. you're cross with me. I'm going to stay here.
request,stop it,you want me to stop. you're feeling cross. I'll sit next to you.
request,it's ok,you're telling me it's ok. it's not time for that now.
request,it's ok if I eat chocolate now,you want some chocolate. chocolate is for another time. you can have a snack if you're hungry.
request,I don't like to have a bath now,you don't want a bath now. we can have a short one.
request,I don't like dinner,you don't like dinner. you can try a little bit.
request,I want to jump,you want to jump. you can jump on the floor.
request,I want to run,you want to run. we can run when we're outside.
request,I want to go home,you want to go home. we'll go home soon.
request,I want to go to bed,you want to go to bed. let's get ready for bed.
request,again again,you want to do it again. one more time.
request,no thank you,no thank you. that's ok.
request,come here,you want me to come. I'm coming.
observation,look at this,I'm looking. what have you got?
observation,look at this mummy,I'm looking. what have you got there?
observation,let's show daddy,let's show daddy. he'll want to see.
observation,I can see the moon,you can see the moon. it's up in the sky.
observation,it's sunny outside,it's sunny outside. it's a lovely day.
observation,I like that cat though,you like that cat. the cat is soft and fluffy.
observation,I love ice cream,you love ice cream. I love ice cream too.
observation,I like bananas,you like bananas. bananas are yellow and yummy.
observation,I don't like spiders,you don't like spiders. spiders can be a bit scary.
observation,I like ducks,you like ducks. ducks say quack quack.
observation,I like chocolate,you like chocolate. what is your favourite kind?
observation,I like biscuits,you like biscuits. biscuits are a nice treat.
observation,I like chocolate,you like chocolate. chocolate is yummy and sweet.
observation,I like my teddy,you like your teddy. your teddy is soft and cuddly.
observation,I like playing,you like playing. what do you like to play?
observation,I like jumping,you like jumping. jumping is good fun.
observation,I like colouring,you like colouring. colouring is lovely and calm.
observation,I love mummy,you love mummy. mummy loves you too.
observation,I love daddy,you love daddy. daddy loves you too.
observation,I love my blanket,you love your blanket. your blanket is soft and warm.
observation,I love my toy,you love your toy. your toy is very special.
observation,I love my toy,you love your toy. I love your toy too.
observation,I like my marble run,you like your marble run. what is your favourite bit?
observation,I did it all by my own self,you did it all by yourself. you're so clever.
observation,I can bounce so high,you can bounce so high. you're bouncing like a kangaroo.
observation,I roar like a lion,you roar like a lion. what a big roar.
observation,I can jump high,you can jump high. you're jumping so high.
observation,I can run fast,you can run fast. you're running like the wind.
observation,it's too spicy,it's too spicy for you. let's get you some water.
observation,it's too hot yucky,it's too hot. let's wait for it to cool down.
observation,mmmm dinner is yummy,dinner is yummy. I'm glad you like it.
observation,this is good,this is good. you're enjoying it.
observation,that's bad,that's bad. you don't like that.
observation,this is fun,this is fun. we're having a nice time.
observation,it's too hot,it's too hot. let's wait for it to cool down.
observation,it's too cold,it's too cold. let's warm it up a bit.
observation,this chocolate is yummy,this chocolate is yummy. you're enjoying it.
observation,that cake is yummy,that cake is yummy. I'm glad you like it.
observation,my shoe is too big,your shoe is too big. let's get a smaller one.
observation,that boy is playing with the marble run,that boy is playing with the marble run. he's having fun with it.
observation,that boy is silly,that boy is silly. he's being funny.
observation,yay we're going to the park,yes we're going to the park. it will be lovely.
observation,mummy helped me,mummy helped you. that was kind of her.
observation,daddy fixed it,daddy fixed it. daddy is good at fixing things.
observation,my nappy fell down,your nappy fell down. let's put a new one on.
observation,the train goes really really fast,the train goes really fast. it's whooshing along.
observation,my shoe is dirty,your shoe is dirty. we can clean it later.
observation,my biscuit is all gone,your biscuit is all gone. you ate it all up.
observation,my nappy is full,your nappy is full. let's change it now.
observation,woah it's really smelly,it's really smelly. we need to change you.
observation,woah this is a big poo in my nappy,woah it's a big poo. what a big one.
observation,this is a really really big poo,it's a really big poo. the biggest one.
observation,you're a poo,you're a poo too. we're both poos.
observation,you're a wee,you're a wee too. we're both wees.
observation,that's silly,that's silly. it's making me laugh.
observation,I'm silly,you're silly. you're making me laugh.
observation,whooosh,whooosh. off it goes.
observation,let's play catch,you want to play catch. let's play.
observation,let's do something nice,you want to do something nice. what shall we do?
observation,do you want a cuddle,yes I want a cuddle. come here.
observation,actually I don't like the red one it's yucky,you don't like the red one. you can leave it.
observation,actually I don't like red peppers,you don't like red peppers. you can leave them on the side.
observation,I did it goodly,you did it well. you're so clever.
